address,category,OT,MT,% OTf,% MTf,OT duration,MT duration
0x9720b467a710382A232a32F540bDCed7d662a10B,[B1][B7],OK,OK,45.16,38.24,16.78s,15.58s
0x9E77D5a1251b6F7D456722A6eaC6D2d5980bd891,[B1][B7],OK,OK,8.06,5.88,17.24s,15.37s
0x9af2c6B1A28D3d6BC084bd267F70e90d49741D5B,[A16],OK,OK,19.35,20.59,16.95s,15.50s
0xAc3Da587eac229C9896D919aBC235CA4Fd7f72c1,[A2][A6][B1][B7],OK,OK,16.13,14.71,17.45s,15.36s
0xAef38fBFBF932D1AeF3B808Bc8fBd8Cd8E1f8BC5,[A2],OK,OK,12.9,14.71,20.07s,17.09s
0xB45a50545bEEAB73F38F31E5973768C421805E5E,[B1][B2][B3],OK,OK,11.29,11.76,17.27s,14.81s
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,[B1][B7],OK,OK,43.55,38.24,17.71s,15.28s
0xB97048628DB6B661D4C2aA833e95Dbe1A905B280,[B1][B2][B3],OK,OK,12.9,14.71,17.31s,14.97s
0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,[B1][B7],OK,OK,43.55,38.24,17.15s,14.86s
0xC27C95350eCD634C80dF89db0f10cd5c24B7B11f,[B1][B7],OK,OK,35.48,32.35,17.14s,14.81s
0xC5d105E63711398aF9bbff092d4B6769C82F793D,[A1],OK,OK,75.81,70.59,5.55s,4.49s
0xCc13Fc627EFfd6E35D2D2706Ea3C4D7396c610ea,[A17],OK,OK,11.29,11.76,18.70s,16.09s
0xCc34366E3842cA1BD36c1f324d15257960fCC801,[B1][B2][B3],OK,OK,11.29,11.76,17.15s,14.82s
0xCdCFc0f66c522Fd086A1b725ea3c0Eeb9F9e8814,[A17][B7],OK,OK,35.48,32.35,17.83s,15.02s
0xD65960FAcb8E4a2dFcb2C2212cb2e44a02e2a57E,[A10][C1],OK,OK,37.1,38.24,17.02s,14.76s
0xE5F166c0D8872B68790061317BB6CcA04582C912,[A16],OK,OK,11.29,11.76,18.38s,15.66s
0xEa1f346faF023F974Eb5adaf088BbCdf02d761F4,[B1][B2][B3],OK,OK,12.9,14.71,17.95s,15.52s
0xF0f8B0B8DBB1124261FC8d778E2287e3Fd2Cf4f5,[B7],OK,OK,14.52,11.76,17.26s,14.10s
0xF433089366899D83a9f26A773D59ec7eCF30355e,[B1][B2][B3],OK,OK,12.9,14.71,16.95s,14.36s
0xFFE02ee4C69eDf1b340fCaD64fbd6b37a7b9e265,[A16],OK,OK,41.94,41.18,19.58s,17.90s
0xa0872eE815B8dd0F6937386Fd77134720d953581,[A18],OK,OK,38.71,38.24,15.63s,13.99s
0xaE616e72D3d89e847f74E8ace41Ca68bbF56af79,[B1][B7],OK,OK,14.52,11.76,16.92s,14.52s
0xaF4DcE16Da2877f8c9e00544c93B62Ac40631F16,[B7],OK,OK,11.29,11.76,17.35s,14.78s
0xaeC2E87E0A235266D9C5ADc9DEb4b2E29b54D009,[A2],OK,OK,37.1,38.24,17.03s,14.97s
0xb3203DB25a01fa7950a860B42b899Ad7Da52DDD6,[B1][B7],OK,OK,11.29,5.88,16.98s,15.10s
0xb5A5F22694352C15B00323844aD545ABb2B11028,[A11][B4][B5][B6],OK,OK,9.68,11.76,18.18s,15.26s
0xb6F43025B29196Af2dddd69b0a58AFBa079cD600,[B1][B7],OK,OK,35.48,32.35,16.98s,15.12s
0xbbFF862d906E348E9946Bfb2132ecB157Da3D4b4,[B1],OK,OK,32.26,32.35,20.26s,16.96s
0xc72fe8e3Dd5BeF0F9f31f259399F301272eF2a2D,[A2],OK,OK,74.19,67.65,4.61s,5.14s
0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,[B1][B2][B3],OK,OK,12.9,14.71,16.91s,15.07s
0xd7631787B4dCc87b1254cfd1e5cE48e96823dEe8,[A2],OK,OK,11.29,11.76,17.70s,15.10s
0xd97579Cea3fE2473682a4C42648134BB982433B9,[A21],OK,OK,27.42,23.53,15.59s,13.69s
0xe120c1ECBfdFeA7F0A8f0Ee30063491E8c26fedf,[B1][B7],OK,OK,8.06,5.88,17.51s,14.82s
0xe3818504c1B32bF1557b16C238B2E01Fd3149C17,[B1][B2][B3],OK,OK,12.9,14.71,19.75s,16.31s
0xf05a9382A4C3F29E2784502754293D88b835109C,[B1][B2][B3],OK,OK,11.29,11.76,17.36s,15.65s
0xfAE4Ee59CDd86e3Be9e8b90b53AA866327D7c090,[B1][B7],OK,OK,35.48,32.35,17.28s,14.84s
